z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,nuclide
0,1,n,-0.1149,0.0027,,,,0.0,,,1/2+,613.9,,6,s,613.9,0.6,B-,100.0,,,,,,,,,-1.9130427,5e-07,,,782.347,0.0004,,,,,,,0.0,0.0,,,0.0,0.0,1008664.9159,0.00047,8071.31806,0.00044,N,,31-Oct-2005,BALRAJ SINGH,2023-10-18,1n
0,4,n,,,,,,0.0,,,0+,2.6,LT,,MeV,1.754760442582253e-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-Aug-2017,J.E. Purcell and  C.G. Sheu,2023-10-18,4n
0,6,n,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-March-2017,J.H. Kelley and  G.C. Sheu,2023-10-18,6n
1,0,H,0.8783,0.0086,99.9855,0.0078,,0.0,,,1/2+,STABLE,,,,,,,,,,,,,,,,2.792847351,9e-09,,,,,,,,,-782.347,0.0,,,0.0,0.0,0.0,0.0,1007825.031898,1.4e-05,7288.971064,1.3e-05,N,1920.0,31-Oct-2005,BALRAJ SINGH,2023-10-18,1h
1,1,H,2.1421,0.0088,0.0145,0.0078,,0.0,,,1+,STABLE,,,,,,,,,,,,,,,,0.857438231,5e-09,0.0028578,3e-07,,,,,,,,,2224.5662,0.0004,2224.5662,0.0004,1112.2831,0.0002,2014101.777844,1.5e-05,13135.722895,1.5e-05,N,1932.0,1-May-2003,J.H. KELLEY and  J.L. GODWIN,2023-10-18,2h
1,2,H,1.7591,0.0363,,,,0.0,,,1/2+,12.32,,2,Y,388781328.0069735,631138.51949184,B-,100.0,,,,,,,,,2.97896246,1.4e-08,,,18.59202,6e-05,,,,,,,6257.2301,0.0004,,,2827.2654,0.0003,3016049.28132,8e-05,14949.8109,8e-05,N,1934.0,30-Jun-2015,J.E. Purcell{+#} and  C.G. Sheu{+*},2023-10-18,3h
1,3,H,,,,,,0.0,,,2-,,,,,,,N,100.0,,,,,,,,1,,,,,22196.2131,100.0,1618.5921,100.0,,,,,-1600.0,100.0,,,1720.4491,25.0,4026431.867,107.354,24621.129,100.0,N,1981.0,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2023-10-18,4h
1,4,H,,,,,,0.0,,,(1/2+),5.3,,4,MeV,8.608258774931805e-23,6.4967990754202316e-24,2N,100.0,,,,,,,,,,,,,21661.2131,91.6515,22396.2132,89.4427,,,,,-200.0,134.1641,,,1336.3592,17.8885,5035311.492,96.02,32892.447,89.443,N,1987.0,28-Feb-2019,J.E. Purcell and  C.G. Sheu,2023-10-18,5h
1,5,H,,,,,,0.0,,,,1.55,,44,MeV,2.9434691294928113e-22,8.355654303076366e-23,,,,,,,,,,,,,,,24283.6294,254.1268,22573.1725,254.9126,,,,,-911.9594,269.4075,,,961.6395,42.3545,6044955.437,272.816,41875.725,254.127,N,1984.0,23-March-2017,J.E. Purcell and  C.G. Sheu,2023-10-18,6h
1,6,H,,,,,,0.0,,,(1/2+),0.09,,+94-6,MeV,5.069307945237619e-21,2.816282191798677e-20,,,,,,,,,,,,,,,23062.0,1004.0,23472.0,1004.0,,,,,812.0,1036.0,,,940.0,143.0,7052749.0,1078.0,49135.0,1004.0,Y,2003.0,23-March-2017,J.E. Purcell and  C.G. Sheu,2023-10-18,7h
2,1,He,1.9661,0.003,0.0002,0.0002,,0.0,,,1/2+,STABLE,,,,,,,,,,,,,,,,-2.12762531,3e-08,,,-13736.0,2000.0,,,,,-18.592,0.0,,,5493.4751,0.0001,2572.68044,0.00015,3016029.32197,6e-05,14931.21888,6e-05,N,1934.0,30-Jun-2015,J.E. Purcell{+#} and  C.G. Sheu{+*},2023-10-18,3he
2,2,He,1.6755,0.0028,99.9998,0.0002,,0.0,,,0+,STABLE,,,,,,,,,,,,,,,0,,,,,-22898.274,212.132,-34313.0,2000.0,0.0,0.0,-22196.213,100.0,20577.6211,0.0005,19813.8661,0.0002,7073.9156,0.0002,4002603.25413,0.00016,2424.91587,0.00015,N,1908.0,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2023-10-18,4he
2,3,He,,,,,,0.0,,,3/2-,0.648,,,MeV,7.0407054794966935e-22,0.0,N,,,,,,,,,1/2,,,,,-447.6529,53.8516,-22163.274,213.0728,735.0,20.0,-21661.213,91.652,-735.0,20.0,20678.8661,101.9804,5512.1325,4.0,5012057.224,21.47,11231.234,20.0,N,1937.0,23-AUG-2001,X. HU and  D.R.TILLEY and  J.H.KELLEY,2023-10-18,5he
2,4,He,2.066,0.0111,,,,0.0,,,0+,806.7,,15,ms,0.8067,0.0015,B-,100.0,,,,,,,,1,,,,,3505.2147,0.0532,-2158.1098,50.0,,,-24283.63,254.12,1710.4569,20.0001,22589.323,89.4427,4878.5199,0.0089,6018885.889,0.057,17592.095,0.053,N,1936.0,23-Aug-2001,HU and  TILLEY and  KELLEY et al.,2023-10-18,6he
2,5,He,,,,,,0.0,,,(3/2)-,150,,20,keV,3.041584767142572e-21,4.055446356190096e-22,N,,,,,,,,,3/2,,,,,11166.0229,7.5595,3914.929,7.5595,,,-23061.872,1004.028,-409.7143,7.5593,23091.5681,254.2392,4123.0578,1.0799,7027990.652,8.115,26073.128,7.559,N,1967.0,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2023-10-18,7he
2,6,He,1.9239,0.0306,,,,0.0,,,0+,119.1,,12,ms,0.1191,0.0012,B-,100.0,,B-N,16.0,1.0,,,,2,,,,,10663.8784,0.1005,8631.2602,0.0887,,,,,2534.7627,7.56,24814.0,1004.0,3924.521,0.0111,8033934.388,0.095,31609.683,0.089,N,1965.0,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2023-10-18,8he
2,7,He,,,,,,0.0,,,1/2+,,,,,,,N,100.0,,,,,,,,5/2,,,,,15980.9213,46.8169,11918.7038,46.8165,,,,,-1254.8254,46.8165,,,3349.038,5.2018,9043946.414,50.259,40935.826,46.816,N,1987.0,31-Mar-2004,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,2023-10-18,9he
2,8,He,,,,,,0.0,,,(0+),300,,200,keV,1.5207923835712858e-21,1.0138615890475236e-21,N,100.0,,,,,,,,3,,,,,16144.5191,93.7152,16170.9236,92.8479,,,,,-190.0023,103.983,,,2995.134,9.2848,10052815.306,99.676,49197.147,92.848,N,1994.0,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2023-10-18,10he
3,1,Li,,,,,,0.0,,,2-,,,,,,,P,100.0,,,,,,,,1,,,,,,,,,,,22898.274,212.132,11415.0,2011.0,-3102.9999,212.132,1153.7603,53.033,4027185.561,227.733,25323.19,212.132,N,1965.0,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2023-10-18,4li
