mass_number,yield
5,3.832732e-10
6,4.210629e-06
7,4.528043e-04
8,4.134800e-08
9,5.061260e-01
10,8.538839e-02
11,2.275253e-02
12,6.412431e-02
13,1.267155e-02
14,1.823165e-01
15,2.183581e-02
16,5.455700e-10
17,1.173006e-06
100,7.037000e-05
105,3.520665e-09
107,9.525814e-04
108,1.855866e-04
109,3.084352e-01
110,2.163377e-01
112,6.063755e-02
113,1.185826e-01
114,3.211029e-02
115,1.041643e-02
116,1.407035e-07
117,2.559508e-09
118,3.906351e-09
200,3.902000e-04
205,1.669171e-08
207,2.410265e-03
208,4.972112e-03
209,2.847440e-01
210,1.917671e-01
211,1.536233e-04
212,6.972566e-02
213,2.107332e-01
214,2.246851e-02
215,1.116080e-02
216,2.414121e-06
217,9.010326e-10
218,1.764485e-09
300,2.668000e-05
305,5.158053e-08
306,9.910978e-09
307,1.967380e-03
308,1.485129e-02
309,5.895500e-02
310,1.244654e-01
311,1.250298e-03
312,3.078800e-02
313,3.969207e-01
314,2.011094e-03
315,2.621532e-03
316,9.455838e-06
318,1.439081e-09
400,1.341800e-06
401,1.261000e-07
405,8.498389e-08
406,7.264875e-07
407,2.711029e-03
408,4.860178e-02
409,2.326019e-04
410,1.598367e-01
411,8.067319e-03
412,1.492879e-06
413,5.059213e-01
414,6.433961e-02
415,4.920322e-04
416,6.049498e-05
418,1.309060e-09
419,2.689600e-12
501,2.522000e-07
505,2.192246e-07
506,2.604566e-06
507,2.592529e-07
508,9.466308e-02
509,7.762536e-03
510,9.570756e-02
511,5.737525e-03
512,4.301580e-07
513,2.360728e-01
514,1.479796e-01
515,1.273100e-04
516,4.055451e-05
517,2.099700e-10
518,8.194000e-11
519,2.850510e-11
601,2.528000e-07
605,7.746098e-08
606,4.455158e-06
607,1.375100e-09
608,1.657189e-01
609,8.485950e-02
610,3.858294e-02
611,4.220673e-02
612,8.513800e-05
613,2.310643e-01
614,2.749169e-01
615,1.578353e-06
616,6.120623e-05
617,5.071590e-09
618,5.064300e-11
619,1.253450e-11
705,1.478865e-07
706,6.794912e-06
707,2.041405e-07
708,1.205339e-01
709,1.671923e-01
710,7.122467e-04
711,4.182307e-02
712,3.037575e-03
713,1.298300e-05
714,3.391676e-01
715,1.019185e-04
716,9.634024e-06
717,2.038614e-07
719,7.993000e-12
806,1.854072e-05
807,6.768849e-06
808,3.700050e-02
809,4.116370e-01
810,4.455079e-04
811,4.127362e-02
812,2.193540e-02
813,1.835432e-06
814,3.505756e-01
815,3.310230e-03
816,3.575509e-06
817,8.527605e-07
905,4.315800e-12
906,4.819098e-06
907,5.587860e-05
908,8.468934e-06
909,5.740802e-01
910,1.129030e-02
911,1.484073e-02
912,2.868932e-02
913,7.616968e-04
914,3.011454e-01
915,8.835060e-03
917,1.039571e-06
